course_code,course_title
HCDE 513,Globalization and Localization Management
HCDE 514,Strategies for International Product Management
HCDE 515,Accessibility and Inclusive Design
HCDE 516,Experimental Research Methods
HCDE 517,Usability Studies
HCDE 518,User-Centered Design
HCDE 519,Qualitative Research Methods
HCDE 520,Design and Management of Complex Systems
HCDE 521,Seminar: Current Issues in Human Centered Design and Engineering
HCDE 523,Design Use Build
HCDE 524,Programming Concepts in HCDE
HCDE 525,Emerging Issues in Human Centered Design and Engineering
HCDE 526,Video Prototyping
HCDE 529,Service Design
HCDE 530,Computational Concepts in HCDE
HCDE 533,Digital Fabrication
HCDE 534,Designing a Human Centered Venture
HCDE 536,Interaction Design and Prototyping
HCDE 537,User-Centered Web Design
HCDE 538,Designing for Behavior Change
HCDE 539,Physical Computing and Prototyping
HCDE 541,Introduction to PhD Studies in HCDE
HCDE 542,Theoretical Foundations in Human Centered Design and Engineering
HCDE 543,Empirical Traditions in Human Centered Design and Engineering
HCDE 544,Experimental and Quasi-Experimental Research Methods
HCDE 545,Qualitative Research Methods
HCDE 546,Design Thinking
HCDE 547,Academic Research Seminar
HCDE 548,Advanced Topics in Human Centered Design and Engineering
HCDE 554,Engineering as Research and Inquiry
HCDE 555,Design as Research and Inquiry
HCDE 592,Capstone Planning
HCDE 593,Capstone
HCDE 596,Directed Research in Human Centered Design and Engineering
HCDE 597,Approaches to Teaching Technical Communication
HCDE 598,Special Topics
HCDE 599,Special Projects
HCDE 600,Independent Study or Research
HCDE 601,Internship
HCDE 700,Master's Thesis
HCDE 800,Doctoral Dissertation
